Names of Films,Stars of Films
Breaking Bad,9.5
The Shawshank Redemption,9.3
Game of Thrones,9.2
Dexter: Resurrection,9.2
The Godfather,9.2
The Dark Knight,9.1
Better Call Saul,9.0
The Lord of the Rings: The Fellowship of the Ring,8.9
Fight Club,8.8
The Smashing Machine,8.8
Inception,8.8
Pulp Fiction,8.8
Forrest Gump,8.8
The Matrix,8.7
Interstellar,8.7
Demon Slayer: Kimetsu no Yaiba - Infinity Castle,8.7
Stranger Things,8.6
Se7en,8.6
Dexter,8.6
Parasite,8.5
Django Unchained,8.5
Inglourious Basterds,8.4
MobLand,8.4
Good Will Hunting,8.3
Oppenheimer,8.3
Peacemaker,8.3
Dept. Q,8.2
The Wolf of Wall Street,8.2
Wednesday,8.0
The Terminal List: Dark Wolf,7.9
F1: The Movie,7.8
Weapons,7.7
Alien: Earth,7.6
KPop Demon Hunters,7.6
Sinners,7.6
The Conjuring,7.5
Nobody,7.4
The Life of Chuck,7.4
Caught Stealing,7.3
Mission: Impossible - The Final Reckoning,7.3
The Fantastic Four: First Steps,7.3
Bring Her Back,7.2
Superman,7.2
Thunderbolts*,7.2
Untamed,7.2
The Paper,7.1
The Roses,7.0
Heretic,7.0
