Films_Names,Stars
Wednesday,8.0
Dexter: Resurrection,9.2
The Conjuring: Last Rites,6.5
The Thursday Murder Club,6.6
Highest 2 Lowest,5.7
Alien: Earth,7.6
The Paper,7.1
Weapons,7.7
The Terminal List: Dark Wolf,7.9
Peacemaker,8.3
Unknown Number: The High School Catfish,6.8
The Naked Gun,6.6
Caught Stealing,7.3
Nobody 2,6.4
The Summer I Turned Pretty,7.3
Lilo & Stitch,6.8
Thunderbolts*,7.2
Superman,7.2
Dexter,8.6
F1: The Movie,7.8
KPop Demon Hunters,7.6
The Roses,7.0
Game of Thrones,9.2
My Life with the Walter Boys,6.9
Breaking Bad,9.5
Die My Love,6.3
The Conjuring,7.5
Foundation,7.6
NCIS: Tony & Ziva,7.3
The Smashing Machine,8.8
Friendship,6.8
The Long Walk,7.6
Task,7.5
Together,6.8
Sinners,7.6
Countdown,6.9
28 Years Later,6.7
Stranger Things,8.6
The Terminal List,7.9
Star Trek: Strange New Worlds,8.3
Mission: Impossible - The Final Reckoning,7.3
The Rookie,8.0
Yellowstone,8.6
Jurassic World: Rebirth,5.9
Nobody,7.4
The Runarounds,7.6
The Guest,6.8
The Fantastic Four: First Steps,7.3
